BU,Region,Month,FY,Revenue_Budget,Revenue_Actual,DirectCost_Budget,DirectCost_Actual,Salaries_Budget,Salaries_Actual,Marketing_Budget,Marketing_Actual,Travel_Budget,Travel_Actual,ITSoftware_Budget,ITSoftware_Actual,Facilities_Budget,Facilities_Actual,ProfFees_Budget,ProfFees_Actual,DA_Budget,DA_Actual
Banking & Financial Services,UAE,2023-04,FY23,388849.0,402208.0,227161.0,240530.0,64847.0,63522.0,10238.0,8794.0,3706.0,3901.0,7102.0,6788.0,6688.0,6718.0,2847.0,3284.0,10924.0,10601.0
Banking & Financial Services,UAE,2023-05,FY23,420607.0,410839.0,235714.0,225217.0,70963.0,71462.0,8997.0,7908.0,5860.0,6457.0,10966.0,11529.0,6852.0,7176.0,3479.0,3936.0,11901.0,11986.0
Banking & Financial Services,UAE,2023-06,FY23,424486.0,420582.0,247167.0,237446.0,62330.0,62444.0,8998.0,8277.0,3696.0,3470.0,10339.0,10191.0,6351.0,6167.0,3227.0,4395.0,11241.0,11315.0
Banking & Financial Services,UAE,2023-07,FY23,430349.0,418833.0,236608.0,229846.0,73024.0,75974.0,12202.0,12878.0,5982.0,7107.0,8732.0,8084.0,6250.0,6105.0,3127.0,4271.0,12378.0,12240.0
Banking & Financial Services,UAE,2023-08,FY23,419953.0,425279.0,249819.0,254238.0,62131.0,61953.0,11935.0,11085.0,5078.0,6342.0,9236.0,8862.0,8391.0,8399.0,2749.0,2277.0,8860.0,8928.0
Banking & Financial Services,UAE,2023-09,FY23,447752.0,451974.0,243493.0,245373.0,76066.0,78211.0,15477.0,17152.0,3618.0,4198.0,11112.0,11297.0,6329.0,6418.0,2986.0,3168.0,10987.0,11286.0
Banking & Financial Services,UAE,2023-10,FY23,432087.0,444714.0,246305.0,248581.0,72322.0,77078.0,10576.0,11017.0,5299.0,4644.0,11072.0,11261.0,7877.0,7901.0,2594.0,2580.0,8726.0,8951.0
Banking & Financial Services,UAE,2023-11,FY23,473697.0,455566.0,264536.0,246619.0,78795.0,84639.0,10083.0,10041.0,4019.0,4744.0,12154.0,11463.0,7485.0,7522.0,3596.0,4759.0,11478.0,11280.0
Banking & Financial Services,UAE,2023-12,FY23,492549.0,479324.0,271921.0,262504.0,83662.0,87133.0,13088.0,13157.0,4358.0,3976.0,10531.0,10804.0,6817.0,6626.0,3165.0,3730.0,10979.0,11246.0
Banking & Financial Services,UAE,2024-01,FY23,447050.0,471322.0,247791.0,267583.0,65460.0,64449.0,15214.0,15538.0,5056.0,6028.0,11657.0,11124.0,5711.0,5672.0,3818.0,4124.0,12200.0,12327.0
