Product,Region,Month,Units,AvgPrice_USD,Revenue_USD
Managed Services,UAE,2023-04,198.4,5737.18,1138446.73
Managed Services,UAE,2023-05,208.6,5758.19,1201122.62
Managed Services,UAE,2023-06,210.4,5748.16,1209379.23
Managed Services,UAE,2023-07,216.2,5778.8,1249533.83
Managed Services,UAE,2023-08,209.6,5800.79,1215762.34
Managed Services,UAE,2023-09,208.6,5823.05,1214894.29
Managed Services,UAE,2023-10,203.1,5812.12,1180469.39
Managed Services,UAE,2023-11,199.7,5815.74,1161218.89
Managed Services,UAE,2023-12,205.6,5817.51,1196092.96
Managed Services,UAE,2024-01,208.1,5836.33,1214264.14
Managed Services,UAE,2024-02,218.1,5833.5,1272245.26
Managed Services,UAE,2024-03,229.6,5817.21,1335681.1
Managed Services,UAE,2024-04,236.6,5816.02,1375819.51
Managed Services,UAE,2024-05,238.0,5823.88,1386069.48
Managed Services,UAE,2024-06,241.5,5819.89,1405399.13
Managed Services,UAE,2024-07,239.6,5852.71,1402181.54
Managed Services,UAE,2024-08,234.5,5850.55,1371884.63
Managed Services,UAE,2024-09,244.3,5883.61,1437610.02
Managed Services,UAE,2024-10,237.7,5879.66,1397420.8
Managed Services,UAE,2024-11,241.7,5886.89,1423025.76
Managed Services,UAE,2024-12,236.3,5870.06,1387381.65
Managed Services,UAE,2025-01,231.1,5876.92,1358407.52
Managed Services,UAE,2025-02,239.9,5871.5,1408628.88
Managed Services,UAE,2025-03,235.5,5878.37,1384271.15
Managed Services,UAE,2025-04,228.8,5875.83,1344352.35
Managed Services,UAE,2025-05,227.4,5899.75,1341674.06
Managed Services,UAE,2025-06,220.6,5895.03,1300331.68
Managed Services,UAE,2025-07,219.5,5897.3,1294651.39
Managed Services,UAE,2025-08,220.8,5907.74,1304328.36
Managed Services,UAE,2025-09,233.4,5936.54,1385747.97
Managed Services,UAE,2025-10,239.7,5932.43,1422073.91
Managed Services,UAE,2025-11,249.5,5950.9,1484835.32
Managed Services,UAE,2025-12,258.4,5967.27,1542175.06
Managed Services,UAE,2026-01,251.3,5992.23,1506028.43
Managed Services,UAE,2026-02,248.3,6027.25,1496588.02
Managed Services,UAE,2026-03,258.3,6033.16,1558162.25
Managed Services,KSA,2023-04,110.6,5055.73,558937.5
Managed Services,KSA,2023-05,116.5,5047.88,587954.41
Managed Services,KSA,2023-06,118.7,5045.57,599014.6
Managed Services,KSA,2023-07,121.7,5035.22,612607.87
Managed Services,KSA,2023-08,129.2,5028.8,649822.28
Managed Services,KSA,2023-09,127.3,5032.99,640641.49
Managed Services,KSA,2023-10,135.7,5028.99,682388.39
Managed Services,KSA,2023-11,135.6,5050.75,684770.96
Managed Services,KSA,2023-12,143.8,5066.93,728836.38
Managed Services,KSA,2024-01,151.2,5056.15,764507.75
Managed Services,KSA,2024-02,158.5,5048.54,800437.02
Managed Services,KSA,2024-03,160.2,5037.06,806707.46
Managed Services,KSA,2024-04,168.4,5024.53,845979.54
Managed Services,KSA,2024-05,168.2,5020.4,844447.63
