InvoiceID,InvoiceDate,Client,BusinessUnit,Region,Revenue,COGS,GrossMargin,PaymentStatus
INV-100001,2024-01-28,Falcon Aerospace,Retail & Consumer,India,107909.56,55679.05,52230.51,Paid
INV-100002,2024-01-02,Meridian Health Group,Banking & Financial Services,UAE,90242.74,44197.77,46044.97,Paid
INV-100003,2024-01-08,BlueHarbor Financial,Technology & Telecom,UAE,17519.43,8398.66,9120.77,Outstanding
INV-100004,2024-01-24,Solstice Retail Co,Technology & Telecom,UAE,13243.57,8163.12,5080.45,Paid
INV-100005,2024-01-14,Vantage Telecom,Healthcare & Life Sciences,USA,138096.43,91530.72,46565.71,Paid
INV-100006,2024-01-18,CedarPoint Logistics,Banking & Financial Services,KSA,13197.62,8684.34,4513.28,Paid
INV-100007,2024-01-27,Northbridge Bank,Technology & Telecom,UK,85035.04,44624.14,40410.9,Paid
INV-100008,2024-01-06,Horizon Insurance,Technology & Telecom,UAE,179804.17,93544.22,86259.95,Paid
INV-100009,2024-01-27,Apex Manufacturing,Technology & Telecom,KSA,158827.05,82425.6,76401.45,Paid
INV-100010,2024-01-16,Meridian Health Group,Public Sector,UAE,66922.64,30220.53,36702.11,Paid
INV-100011,2024-01-12,Willow Pharma,Retail & Consumer,UK,157625.94,80338.6,77287.34,Outstanding
INV-100012,2024-01-06,BlueHarbor Financial,Banking & Financial Services,UK,184853.64,105920.09,78933.55,Paid
INV-100013,2024-01-06,Granite Construction Group,Banking & Financial Services,KSA,154210.88,93094.19,61116.69,Paid
INV-100014,2024-01-26,Apex Manufacturing,Banking & Financial Services,USA,77381.28,42266.45,35114.83,Paid
INV-100015,2024-01-09,Keystone Energy,Retail & Consumer,UK,176628.53,114254.45,62374.08,Paid
INV-100016,2024-01-18,Keystone Energy,Public Sector,UK,164445.72,89461.28,74984.44,Outstanding
INV-100017,2024-01-03,Coral Bay Hospitality,Retail & Consumer,USA,59940.97,33412.82,26528.15,Paid
INV-100018,2024-01-04,Ironclad Public Utilities,Banking & Financial Services,KSA,72004.2,33006.36,38997.84,Outstanding
INV-100019,2024-01-05,Horizon Insurance,Public Sector,USA,93556.96,48584.84,44972.12,Paid
INV-100020,2024-01-10,Vantage Telecom,Retail & Consumer,India,151670.02,78981.84,72688.18,Paid
INV-100021,2024-01-03,Keystone Energy,Technology & Telecom,USA,34967.79,16623.91,18343.88,Paid
INV-100022,2024-01-06,Granite Construction Group,Technology & Telecom,India,115014.42,71628.48,43385.94,Paid
INV-100023,2024-01-23,Horizon Insurance,Public Sector,KSA,11042.97,5984.45,5058.52,Paid
INV-100024,2024-01-23,Granite Construction Group,Retail & Consumer,UAE,143655.44,67984.55,75670.89,Overdue
INV-100025,2024-01-15,Apex Manufacturing,Healthcare & Life Sciences,USA,105426.33,60322.33,45104.0,Paid
INV-100026,2024-01-19,Northbridge Bank,Technology & Telecom,KSA,62289.97,32863.79,29426.18,Paid
INV-100027,2024-01-09,Coral Bay Hospitality,Public Sector,KSA,136150.77,77809.36,58341.41,Overdue
INV-100028,2024-01-09,Granite Construction Group,Technology & Telecom,USA,12106.24,6575.93,5530.31,Paid
INV-100029,2024-01-06,CedarPoint Logistics,Banking & Financial Services,UAE,183754.51,90370.71,93383.8,Paid
INV-100030,2024-01-08,Horizon Insurance,Healthcare & Life Sciences,India,22560.33,13920.35,8639.98,Paid
INV-100031,2024-01-17,Meridian Health Group,Technology & Telecom,UAE,63039.1,39154.47,23884.63,Paid
INV-100032,2024-01-21,Northbridge Bank,Healthcare & Life Sciences,UK,33183.14,20378.16,12804.98,Outstanding
INV-100033,2024-01-23,BlueHarbor Financial,Banking & Financial Services,UAE,43866.53,20370.34,23496.19,Paid
INV-100034,2024-01-20,Meridian Health Group,Public Sector,UK,105484.3,61836.18,43648.12,Paid
INV-100035,2024-01-10,Meridian Health Group,Banking & Financial Services,India,13740.77,6225.08,7515.69,Outstanding
INV-100036,2024-01-24,Zenith Media,Banking & Financial Services,KSA,26927.99,16390.19,10537.8,Paid
