AdjID,Date,Description,TaxTreatment,AccountingAmount_AED,AdjustmentDirection
CT-9001,2025-01-04,Client Entertainment,Disallowed 50%,12673.22,Add
CT-9002,2025-01-27,Exempt Dividend Income,Exempt Income,30202.84,Add
CT-9003,2025-01-03,Related Party Management Fee,Transfer Pricing Adj.,5720.91,Add
CT-9004,2025-01-05,Client Entertainment,Disallowed 50%,45870.49,Add
CT-9005,2025-01-25,Related Party Management Fee,Transfer Pricing Adj.,48745.3,Add
CT-9006,2025-01-20,Donations - Non Qualifying,Fully Disallowed,59674.31,Add
CT-9007,2025-01-07,Interest Income - Related Party,Related Party Adj.,63089.98,Deduct
CT-9008,2025-01-12,Entertainment Expense,Disallowed 50%,13610.29,Add
CT-9009,2025-01-17,Interest Income - Related Party,Related Party Adj.,59675.31,Deduct
CT-9010,2025-01-05,Bad Debts Written Off (realized),Deduct,40123.81,Deduct
CT-9011,2025-01-05,Entertainment Expense,Disallowed 50%,30041.2,Add
CT-9012,2025-01-10,Donations - Non Qualifying,Fully Disallowed,9148.97,Add
CT-9013,2025-01-14,Related Party Management Fee,Transfer Pricing Adj.,24166.1,Add
CT-9014,2025-01-17,Exempt Dividend Income,Exempt Income,45264.01,Add
CT-9015,2025-01-28,UAE Government Grant Income,Exempt Income,41752.52,Add
CT-9016,2025-01-19,Client Entertainment,Disallowed 50%,57746.93,Add
CT-9017,2025-01-04,UAE Government Grant Income,Exempt Income,27229.05,Add
CT-9018,2025-01-28,Interest Income - Related Party,Related Party Adj.,52226.87,Deduct
CT-9019,2025-01-10,Exempt Dividend Income,Exempt Income,4718.75,Add
CT-9020,2025-01-06,Depreciation - Tax (per schedule),Deduct,3550.96,Deduct
CT-9021,2025-01-25,Client Entertainment,Disallowed 50%,5829.3,Add
CT-9022,2025-01-26,Entertainment Expense,Disallowed 50%,57529.47,Add
CT-9023,2025-01-04,Provision for Doubtful Debts (unrealized),Add Back,1891.4,Add
CT-9024,2025-01-25,Provision for Doubtful Debts (unrealized),Add Back,53770.55,Add
CT-9025,2025-01-18,Client Entertainment,Disallowed 50%,64104.75,Add
CT-9026,2025-01-24,Entertainment Expense,Disallowed 50%,18335.98,Add
CT-9027,2025-01-18,Provision for Doubtful Debts (unrealized),Add Back,57349.01,Add
CT-9028,2025-01-20,UAE Government Grant Income,Exempt Income,6512.55,Add
CT-9029,2025-01-09,Bad Debts Written Off (realized),Deduct,61817.94,Deduct
CT-9030,2025-01-18,Entertainment Expense,Disallowed 50%,54995.42,Add
CT-9031,2025-01-19,Donations - Non Qualifying,Fully Disallowed,19666.15,Add
CT-9032,2025-01-19,Depreciation - Tax (per schedule),Deduct,19030.2,Deduct
CT-9033,2025-01-13,Depreciation - Tax (per schedule),Deduct,3484.17,Deduct
CT-9034,2025-01-26,Entertainment Expense,Disallowed 50%,40776.4,Add
CT-9035,2025-01-17,UAE Government Grant Income,Exempt Income,23605.75,Add
CT-9036,2025-01-05,Entertainment Expense,Disallowed 50%,29029.07,Add
CT-9037,2025-01-09,UAE Government Grant Income,Exempt Income,64320.19,Add
